Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Isle of Man,Europe,432,5080.44,0,0,25,294.01,0,0,No cases
Cayman Islands,Americas,384,5842.97,3,1,2,30.43,0,0,Sporadic cases
Saint Barthélemy,Americas,376,38037.43,95,0,0,0,0,0,Sporadic cases
Bonaire,Americas,360,17212.53,12,4,3,143.44,0,0,Community transmission
Guernsey,Europe,359,5680.74,50,38,13,205.71,0,0,Community transmission
Antigua and Barbuda,Americas,201,2052.51,11,0,6,61.27,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,176,402.31,2,0,3,6.86,0,0,Sporadic cases
Grenada,Americas,148,1315.29,9,0,1,8.89,0,0,Sporadic cases
British Virgin Islands,Americas,137,4530.87,16,0,1,33.07,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,132,2293.38,3,0,2,34.75,0,0,Pending
Dominica,Americas,113,1569.64,0,0,0,0,0,0,Clusters of cases
Timor-Leste,South-East Asia,68,51.58,15,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,55,61.35,0,0,2,2.23,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,44,6.05,3,0,0,0,0,0,Sporadic cases
New Caledonia,Western Pacific,44,154.12,0,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,38,10910.13,6,1,0,0,0,0,No cases
Saint Kitts and Nevis,Americas,37,695.59,2,2,0,0,0,0,Sporadic cases
Greenland,Europe,30,528.43,0,0,0,0,0,0,No cases
Holy See,Europe,26,32138.44,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,23,3968.94,7,0,0,0,0,0,Clusters of cases
Sint Eustatius,Americas,20,6371.46,0,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,17,24.75,0,0,0,0,0,0,No cases
Anguilla,Americas,16,1066.52,1,0,0,0,0,0,Sporadic cases
Montserrat,Americas,13,2600.52,0,0,1,200.04,0,0,No cases
Saba,Americas,6,3103.98,0,0,0,0,0,0,Sporadic cases
Wallis and Futuna,Western Pacific,5,444.6,1,0,0,0,0,0,Sporadic cases
Marshall Islands,Western Pacific,4,67.57,0,0,0,0,0,0,No cases
Samoa,Western Pacific,2,10.08,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,1,3.26,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,No cases
